"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Rgs20",445.228192291158,2.45157433395112,1.03158721261737,2.37650709893051,0.0174774250893506,0.149908361908417
"2","Npbwr1",148.208768059345,-4.11807110977485,1.00628823865593,-4.09233751482102,4.27046467773923e-05,0.00376375281626947
"3","Rrs1",462.032938846144,-1.25131554692714,0.608647478002269,-2.05589539454638,0.0397926001400757,0.233442692374885
"4","Mybl1",92.0339866081872,-5.73705364975415,1.17882451885703,-4.86675799322254,1.13443802710531e-06,0.000294777853560415
"5","Vcpip1",492.314945747503,-1.40378882843596,0.597913130147811,-2.34781401788071,0.0188839478111288,0.154804261287461
"6","Slco5a1",45.0252107606833,9.84655583039524,2.17488992451767,4.52738123405438,5.97191446636655e-06,0.000937528363777191
"7","Tmem70",572.514692619557,-2.34196808835913,0.947759025569772,-2.47105859735938,0.0134713742750475,0.130145565191821
"8","Mcm3",301.878174533484,-3.11993253207047,1.21606934598351,-2.56558767999138,0.0103001185372243,0.113308822244166
"9","Paqr8",747.766867816258,2.91343964552024,0.907172090845002,3.21156225474977,0.00132015363679271,0.0344250187280279
"10","Efhc1",11.07043643373,4.94699550717791,1.79271743326753,2.75949539809025,0.00578907024745961,0.0819565711587648
"11","Sdhaf4",207.456611964463,-2.77790552095056,1.40646314089245,-1.97510012184741,0.0482567870235625,0.258817806844168
"12","Rab23",103.848514716419,-2.00848414820672,0.817769252502641,-2.45605241583748,0.0140472666752059,0.132970507129774
"13","Zfp451",244.429010025193,-1.81673150192654,0.871775231202655,-2.0839448482842,0.0371651842336076,0.223510172220551
"14","Plekhb2",1120.51295208189,-1.11665458481753,0.513316882545092,-2.17537085334308,0.0296023368520865,0.198636161486107
"15","Uggt1",858.444638176318,1.16707159545997,0.447315854844398,2.60905483859039,0.00907926911175652,0.105940179985449
"16","Neurl3",149.046329722958,3.17718282262976,1.32150788474879,2.40421026563433,0.0162074480937501,0.143821521073896
"17","Cnnm4",429.866238918177,2.7296530736968,1.14177519319767,2.39070973862386,0.0168158413487309,0.146938036052662
"18","Ankrd23",1046.52929148565,5.33700080939946,1.70275590326871,3.13433111531385,0.00172246372224985,0.0407523559780652
"19","Actr1b",750.327338094265,1.97326211181249,0.66946099206735,2.94753859477144,0.00320314765088171,0.0587061619590921
"20","Lyg2",266.872407591344,8.3937799631766,3.4434603943418,2.43760026308681,0.0147851134264758,0.136076531914962
"21","Eif5b",3137.17594397501,3.61702877642865,0.844032187046449,4.28541568904598,1.82397812528941e-05,0.0020984102539112
"22","Rev1",119.142468655491,-3.31134290411249,1.40718260674636,-2.35317213859605,0.0186140148099552,0.154053905060504
"23","Il1r2",660.001524385927,2.59858438346076,0.955014850853208,2.7209884549326,0.00650870346329947,0.0879754886954137
"24","Il18rap",33.5050905146461,5.8949553125664,1.43424331113206,4.11015011665871,3.95401981845209e-05,0.00354708527880306
"25","Fhl2",982.785230490228,-3.06928207048349,0.880745144162386,-3.48486970473446,0.000492376739947599,0.0187389137569451
"26","Tex30",173.241830765011,-2.12846434440611,0.895868680658355,-2.37586645270593,0.0175077980974598,0.149908361908417
"27","Kdelc1",165.339909610943,-1.74657557515819,0.761610637702514,-2.29326573014649,0.0218327109497455,0.169897630699225
"28","Ercc5",631.521070316364,-1.91621424421759,0.588279558723931,-3.25731910245897,0.00112469919707898,0.0312386516061645
"29","Col3a1",1657.81948123055,4.56659387128217,2.30792442486478,1.97865832263971,0.0478544883618148,0.257879405549352
"30","Col5a2",215.676045018096,6.30472893432119,2.80510612866357,2.247590160635,0.0246023355624774,0.181319221785896
"31","Nabp1",1795.48517344451,1.68530730465998,0.829557900877959,2.03157284485669,0.0421969180879613,0.24091590969988
"32","Gls",1068.12971113374,-1.49131162359233,0.580892745860134,-2.56727534337536,0.0102501184776726,0.113088971871892
"33","Pms1",82.5918890115019,3.1512464677827,0.891501110293604,3.5347644903604,0.000408138745793644,0.016272642957291
"34","Pgap1",560.569176271763,-1.60984444728293,0.733137678962615,-2.19582827820396,0.0281042368136902,0.194382296427758
"35","Ankrd44",846.609157919373,3.83159990564161,1.16087085245439,3.3006254722828,0.000964695668981526,0.0286579426292824
"36","Hspe1",1944.19467458885,-3.45177481409532,1.33150182395383,-2.59239210341106,0.00953110729613597,0.108820695500049
"37","Rftn2",14.7595244531383,7.77284739293603,2.98238640547745,2.60625094677887,0.00915393679714329,0.106449831380977
"38","Mars2",86.8713660024668,-1.82302526807777,0.7886074019776,-2.31170194891165,0.0207941139239308,0.164681077744383
"39","Sgol2a",70.2891434003572,-4.67206177403099,1.53956685308969,-3.03465988804244,0.00240807077034542,0.0499890283469363
"40","Ppil3",271.593111269901,-1.49730792980856,0.616937162851449,-2.42700232692757,0.0152241582089117,0.138302162969565
