"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Npbwr1",148.208768059345,-2.00767137783114,0.998192139746338,-2.01130754079203,0.0442929824939828,0.667208921689549
"2","Mybl1",92.0339866081872,-3.35089235584198,1.17781123148758,-2.84501647314893,0.00444091263250502,0.315592003438636
"3","Vcpip1",492.314945747503,-1.58208605741034,0.600547199114709,-2.63440751991277,0.00842842605990444,0.390170120827323
"4","Zfp451",244.429010025193,-1.84606759694933,0.878022395788585,-2.10252905370518,0.035506957345067,0.635292302391942
"5","Ankrd39",57.6535406531863,2.0416997577042,0.988001233424621,2.06649515064595,0.0387817498272778,0.655705955000475
"6","Fam178b",31.4365108485911,3.77178000016013,1.65490438243015,2.2791528261116,0.0226579822079545,0.537392790978477
"7","Eif5b",3137.17594397501,1.67935641752991,0.843838856210171,1.99013876307165,0.0465756517754295,0.677004204814512
"8","Il18rap",33.5050905146461,4.3408664403169,1.52331321357895,2.84962173348333,0.00437712518841355,0.315592003438636
"9","Gls",1068.12971113374,-1.43982189411993,0.582593151159262,-2.47140202601923,0.0134584423579417,0.455656250240552
"10","Orc2",295.767243484736,-1.20277382516681,0.476034057168992,-2.52665498834219,0.0115154565531494,0.438071910310279
"11","Abi2",103.284747273501,-1.5673856840623,0.705663971934133,-2.22115021653479,0.0263407887787824,0.564750841662345
"12","Ctla4",43.4807657901011,5.78355448724273,1.68899167907471,3.42426464197336,0.000616465566507797,0.137784935728326
"13","Ttll4",153.368627003566,-2.85328097194784,1.06171039849736,-2.68743809610048,0.00720024471573008,0.37791005028527
"14","Nhej1",87.5186617849881,2.47585605111972,0.85389309378363,2.89949183234299,0.00373768082933454,0.310539745644718
"15","Cnppd1",1457.8048577521,1.4024736895699,0.525278499538161,2.66996210734495,0.00758598073939811,0.379768527634559
"16","Zfand2b",908.895433248839,1.18752671313782,0.600947072307407,1.976092018517,0.0481443562385202,0.684487151738961
"17","Slc4a3",17.1458707162551,4.25558148496926,1.93437813503375,2.1999739388571,0.0278087440968712,0.577557551384883
"18","Serpine2",136.376956329037,5.23464577364049,2.40894313586689,2.17300512233002,0.0297799317607774,0.594340819728217
