"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Npbwr1",148.2087681,2.520648602,0.721197338,3.495088609,0.000473904,0.006385991
"2","Rrs1",462.0329388,1.84043446,0.445628637,4.129973499,3.63e-05,0.000951024
"3","Mybl1",92.03398661,3.142038034,0.877350926,3.581278529,0.000341917,0.004990428
"4","Vcpip1",492.3149457,1.518812205,0.437178996,3.474119798,0.000512532,0.006733728
"5","Slco5a1",45.02521076,-9.046258709,1.846455164,-4.899257175,9.62e-07,5.75e-05
"6","Pi15",403.3961285,6.439092901,1.655370957,3.889818697,0.000100319,0.001983166
"7","Mcm3",301.8781745,3.492382064,0.897086118,3.893028769,9.9e-05,0.001963274
"8","Efhc1",11.07043643,-6.551974405,1.414765729,-4.631137348,3.64e-06,0.00016585
"9","Gsta3",27.46502623,-3.682095592,1.386603934,-2.655477532,0.007919621,0.049191634
"10","Ogfrl1",320.2314426,-2.723450135,0.694737071,-3.920116324,8.85e-05,0.001808846
"11","Plekhb2",1120.512952,2.170134845,0.371856206,5.835951667,5.35e-09,9.39e-07
"12","Lman2l",321.7762684,-2.52324143,0.555773597,-4.54005272,5.62e-06,0.000224508
"13","Cnnm3",287.6261554,-1.515065354,0.405814191,-3.733396685,0.000188915,0.003194309
"14","Ankrd23",1046.529291,-3.777282813,1.209368266,-3.123352017,0.001788038,0.016534506
"15","Inpp4a",232.9959946,-1.588452329,0.552353043,-2.87579176,0.004030155,0.030038531
"16","Lyg2",266.8724076,-8.757523659,2.400186241,-3.648685052,0.000263586,0.004063243
"17","Eif5b",3137.175944,-2.994022353,0.596895739,-5.015988816,5.28e-07,3.5e-05
"18","Rev1",119.1424687,3.03673463,1.040149197,2.919518313,0.003505728,0.027280776
"19","Map4k4",3292.721611,1.260742751,0.465764515,2.706824392,0.006793018,0.044107264
"20","Gm16894",112.0348483,-3.257400805,0.824603858,-3.950261418,7.81e-05,0.00165261
"21","Il1r2",660.0015244,-4.382318176,0.675926744,-6.483421786,8.97e-11,3.53e-08
"22","Il18rap",33.50509051,-3.815358395,1.066476967,-3.577534736,0.00034685,0.005033749
"23","Mfsd9",230.9271987,1.869665517,0.639206283,2.924979881,0.003444785,0.02690188
"24","Fhl2",982.7852305,4.699451706,0.633142798,7.422419899,1.15e-13,1.61e-10
"25","Tex30",173.2418308,2.080839047,0.669050089,3.110139407,0.001869991,0.017120362
"26","Nab1",1089.745005,1.118489843,0.335531147,3.333490353,0.000857636,0.009656421
"27","Inpp1",25.28593159,-2.471069131,0.929772112,-2.657714831,0.007867243,0.048971915
"28","Pms1",82.59188901,-2.635611036,0.62199579,-4.237345459,2.26e-05,0.000654638
"29","Gtf3c3",142.4561191,1.446286077,0.533550908,2.710680568,0.006714528,0.043801179
"30","Ankrd44",846.6091579,-4.140998692,0.816841925,-5.069522715,3.99e-07,2.81e-05
"31","Hspe1",1944.194675,2.658438268,0.94502969,2.813073807,0.004907039,0.034531262
"32","Rftn2",14.75952445,-6.595734461,2.469223713,-2.671177353,0.00755857,0.047627787
"33","Mars2",86.871366,2.031638,0.636316079,3.192812609,0.001408943,0.013836455
"34","1700066M21Rik",161.9396238,1.705978067,0.59475316,2.868379998,0.004125797,0.030544013
"35","Sgol2a",70.2891434,4.976388354,1.268374343,3.923438203,8.73e-05,0.001798424
"36","Bzw1",6325.384959,1.617210691,0.336476037,4.806317574,1.54e-06,8.44e-05
