"","X1","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"58",261,"Apaf1",121.0810366,4.147332684,0.889520522,4.662436201,3.12e-06,0.00014732
"59",263,"Elk3",289.7202428,2.92018775,0.967471814,3.018369844,0.002541385,0.021481635
"60",267,"Kitl",130.7995971,5.322257835,1.340813673,3.969423897,7.2e-05,0.001561755
"61",269,"Nav3",88.67698092,4.343797264,1.259649225,3.44841816,0.00056388,0.007144498
"62",270,"E2f7",72.26423144,3.866613802,1.320509114,2.928123525,0.003410145,0.026740063
"63",277,"Mdm1",97.14567922,2.098982514,0.654192604,3.208508473,0.001334254,0.013324332
"64",278,"Grip1",135.4755206,2.3777868,0.843412023,2.819246981,0.004813646,0.034061202
"65",285,"Timeless",181.3417347,2.627800486,0.725098243,3.624061304,0.000290013,0.004391337
"66",289,"Cdk2",437.2722186,2.071081343,0.566857947,3.653616137,0.000258573,0.004002019
"67",291,"Cd63",1603.790202,2.118259514,0.608069477,3.483581391,0.000494753,0.006600567
"68",303,"Ppia",20464.4241,2.063779381,0.650875837,3.170772773,0.00152034,0.014753867
"69",306,"Fignl1",101.7532547,4.828148023,1.478869318,3.264756368,0.001095583,0.011596426
"70",309,"Plek",170.6296005,3.659897672,1.237682674,2.957056561,0.003105911,0.025018214
"71",315,"Gm12070",2037.254646,3.178968003,0.996708845,3.189465026,0.001425364,0.013970929
"72",324,"Hmmr",98.38269113,3.534877739,1.045624429,3.380638059,0.000723177,0.008518554
"73",325,"Ccng1",2052.060679,4.342951106,0.783574393,5.542487277,2.98e-08,3.73e-06
"74",351,"Grap",136.7429173,2.399598846,0.886556089,2.706652039,0.006796545,0.044111531
"75",361,"Aurkb",114.2204205,5.399236783,1.03696952,5.20674589,1.92e-07,1.68e-05
"76",366,"Sox15",74.76471131,4.555207595,1.150736665,3.958514345,7.54e-05,0.001612087
"77",374,"Pitpnm3",217.5510151,4.747940699,1.084173183,4.379319441,1.19e-05,0.000400369
"78",390,"Spag5",119.4827068,4.311572385,0.989592167,4.356918463,1.32e-05,0.000433177
"79",400,"Slfn10-ps",41.10323892,5.561098916,1.606614841,3.461376539,0.000537421,0.006914214
"80",401,"Slfn2",727.5871434,2.776735108,0.979254341,2.835560685,0.004574532,0.03286571
"81",407,"Znhit3",172.1870253,2.853504918,0.798075977,3.57548028,0.000349586,0.005049605
"82",411,"Brip1",39.28871872,7.210860876,2.005286042,3.595926329,0.000323239,0.004790612
"83",413,"Ints2",226.5586845,2.47301378,0.850161972,2.908873676,0.003627334,0.028014319
"84",416,"Prr11",61.22803888,3.584997887,1.189400835,3.014120875,0.002577251,0.021668365
"85",417,"Ska2",99.02326405,2.025252162,0.660355243,3.066913124,0.002162817,0.019094034
"86",419,"Coil",181.8129599,2.06416243,0.619348738,3.332795083,0.000859782,0.009673008
"87",420,"Tom1l1",280.8294323,2.594237752,0.801071661,3.238459027,0.001201773,0.012371096
"88",423,"Gm11545",57.00237223,4.111450113,0.944912668,4.35114297,1.35e-05,0.000438194
"89",431,"Gpr179",31.98247744,9.367887702,2.537514084,3.691757914,0.000222709,0.003584105
"90",439,"Top2a",715.9100526,4.702564145,0.814149616,5.776044171,7.65e-09,1.25e-06
"91",485,"Krt14",126061.5722,4.208441636,0.812196646,5.181555054,2.2e-07,1.89e-05
"92",486,"Krt16",93444.63242,5.882104185,0.908576793,6.473975817,9.55e-11,3.55e-08
"93",491,"Psmc3ip",50.2732558,3.965331122,1.235344904,3.209897988,0.001327821,0.013282452
"94",499,"BC030867",29.76105672,7.602236043,2.446990367,3.10676991,0.001891436,0.017211098
"95",501,"Kif18b",65.9044183,6.329850716,1.409155732,4.491945478,7.06e-06,0.000265309
"96",508,"Kpna2",1753.806091,2.136313305,0.540184828,3.954782129,7.66e-05,0.001632917
"97",518,"Fads6",25.60031194,4.098099453,1.302199005,3.147060807,0.001649207,0.015644424
"98",529,"Tk1",263.764092,2.803291921,0.919578717,3.048452371,0.002300234,0.020006957
"99",530,"Birc5",390.307357,4.407958025,1.144690958,3.85078435,0.00011774,0.002253485
"100",539,"Dcxr",87.35768115,3.004555324,0.766385227,3.920424372,8.84e-05,0.001808846
"101",544,"Adcy3",181.3072988,2.930478719,1.090562756,2.687125251,0.007206992,0.046055827
"102",546,"Wdr35",110.4813704,4.144772536,0.902380057,4.593156179,4.37e-06,0.000188093
"103",547,"Vsnl1",57.3330263,4.636809925,1.603580292,2.891535863,0.003833638,0.029126222
"104",550,"Pqlc3",329.0266581,3.816474899,0.578634406,6.595658437,4.23e-11,2.1e-08
"105",553,"Rrm2",613.7082134,3.004135344,0.65010719,4.620984644,3.82e-06,0.00017113
"106",557,"Twistnb",305.2086424,2.084853346,0.586958597,3.551959805,0.000382373,0.005411321
"107",565,"Mis18bp1",65.09605081,3.031341303,1.058183454,2.864665188,0.004174504,0.030714763
"108",568,"L3hypdh",101.9507092,3.413333209,1.216021478,2.806967862,0.005001023,0.035064199
"109",569,"Hif1a",2694.554575,2.326564915,0.452502186,5.141555084,2.72e-07,2.21e-05
"110",570,"Churc1",632.9908288,2.689798019,0.885754266,3.036731655,0.002391583,0.02056013
"111",582,"Slirp",419.2071791,2.600904823,0.875775682,2.969829918,0.002979647,0.024268251
"112",583,"BB287469",9.010134039,10.28834147,3.049684833,3.373575314,0.000741987,0.008685152
"113",584,"Gm2016",9.759071675,7.55753736,2.793199435,2.705691998,0.006816223,0.044201914
"114",590,"Itpk1",294.5889618,3.392808124,0.656953601,5.164456238,2.41e-07,2.01e-05
"115",596,"Bdkrb2",39.01596046,5.8047644,1.557742869,3.726394462,0.000194238,0.003240302
"116",599,"Siva1",166.6676343,3.101502989,1.116977781,2.776691749,0.005491523,0.037779418
"117",603,"Ncapg2",171.4603689,3.524537073,0.934187828,3.772835578,0.000161403,0.00285638
"118",604,"Itgb8",108.2156778,5.295051244,1.348545307,3.926491172,8.62e-05,0.001785332
"119",610,"Gpr141",100.3356136,3.550665865,0.969543826,3.662202542,0.000250056,0.003885855
"120",611,"Hist1h2bl",107.2559098,2.491203716,0.92601756,2.690233774,0.007140198,0.045705
"121",612,"Hist1h2bn",66.07760376,3.053950604,0.890274216,3.430348254,0.000602807,0.007444626
"122",613,"Hist1h2bp",37.60736833,2.88433001,0.867396332,3.325273467,0.000883318,0.009847186
"123",614,"Hist1h2bk",121.3998228,3.05097042,0.963659868,3.166024157,0.00154538,0.014919592
"124",615,"Hist1h2bg",75.82899052,3.350780619,0.884890882,3.786659674,0.000152686,0.002745088
"125",616,"Hist1h2be",80.85460781,2.997062515,0.862679613,3.474131612,0.00051251,0.006733728
"126",617,"Gmnn",280.9578857,2.834145978,0.975661916,2.904844322,0.003674358,0.028221494
"127",622,"Serpinb1a",582.0858182,7.77919055,1.058882335,7.346605277,2.03e-13,2.23e-10
"128",623,"Serpinb6c",1333.947054,5.160535518,1.325561779,3.893093177,9.9e-05,0.001963274
"129",624,"Serpinb6a",3468.774243,2.753064552,0.816967419,3.369858439,0.000752068,0.008769753
"130",625,"Tubb2a",4453.246481,2.177136204,0.502234954,4.334895825,1.46e-05,0.000467902
"131",626,"Tubb2b",1966.320901,2.123062569,0.496016651,4.280224396,1.87e-05,0.000563382
"132",627,"Rpp40",50.02183906,2.663739172,0.960461552,2.773394902,0.005547476,0.038028168
"133",629,"Eef1e1",526.6265614,2.148919158,0.708343898,3.033722976,0.002415561,0.020705389
"134",641,"Cks2",399.0796596,3.320587388,1.058406617,3.137345642,0.00170485,0.016064894
"135",646,"Mxd3",59.82434411,3.479835286,1.112235409,3.128685941,0.001755899,0.016315845
"136",662,"Ttc37",649.3569469,2.622965818,0.676349445,3.878122229,0.000105266,0.00206061
"137",673,"Ccnb1",257.8849283,5.995136082,1.04044974,5.762062164,8.31e-09,1.32e-06
"138",677,"Smim15",632.6458488,2.263372117,0.632402709,3.579004461,0.000344906,0.005014999
"139",684,"Slc4a7",228.8806601,2.890124649,0.539743983,5.354621343,8.57e-08,9.03e-06
"140",694,"Gnl3",959.9555252,2.043897764,0.539267982,3.790133724,0.000150566,0.002712839
"141",695,"Nt5dc2",487.971445,3.914690344,0.810057191,4.832609827,1.35e-06,7.56e-05
"142",696,"Stab1",756.0451625,4.366877427,0.799247271,5.463737678,4.66e-08,5.47e-06
"143",699,"Cdhr1",260.5591797,6.399883143,1.638011139,3.907105997,9.34e-05,0.001886453
"144",701,"Gnpnat1",232.4036059,2.217326369,0.800125208,2.771224238,0.005584595,0.038248505
