"","X1","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"55",127,"Sec16b",12.95304589,-6.459474823,2.362484262,-2.734187451,0.006253443,0.04144423
"56",130,"Prrx1",125.2816126,-10.02651003,2.147993752,-4.667848789,3.04e-06,0.000144378
"57",132,"Dpt",565.7720993,-4.735193783,1.739582752,-2.722028474,0.006488255,0.042578136
"58",133,"Rcsd1",159.7115868,-6.890843671,1.148338887,-6.00070567,1.96e-09,4.08e-07
"59",137,"Fcgr3",127.181336,-3.301093559,0.94677152,-3.486684472,0.000489048,0.006535807
"60",138,"Mpz",63.18245789,-14.6458612,5.030885186,-2.911189713,0.003600553,0.027863496
"61",139,"Fcer1g",160.2815017,-2.542930584,0.931803857,-2.729040629,0.006351888,0.041861991
"62",141,"Tstd1",56.37191072,-2.693524668,0.86052063,-3.13011051,0.001747406,0.016267176
"63",145,"Vsig8",216.185172,-8.319545194,1.910918773,-4.353688557,1.34e-05,0.000437741
"64",146,"Aim2",40.0112224,-3.267732815,0.920248572,-3.550924081,0.000383881,0.005416464
"65",150,"Sdccag8",54.09787102,-2.240652173,0.733956504,-3.052840542,0.002266864,0.019761444
"66",152,"Smyd3",105.8496162,-3.222035696,0.568114467,-5.671455108,1.42e-08,1.98e-06
"67",153,"Psen2",90.75834906,-3.208424172,0.67681416,-4.740480268,2.13e-06,0.000112215
"68",160,"Capn8",29.8078123,-7.657860291,1.436209843,-5.331992627,9.71e-08,9.95e-06
"69",166,"Hhat",11.88124185,-8.708608818,2.284671428,-3.811755472,0.000137983,0.002526253
"70",167,"Cd34",171.4151011,-5.464820309,1.486219307,-3.676994561,0.000235998,0.003731537
"71",169,"Akap12",25.93663398,-8.054561045,1.969006299,-4.090673072,4.3e-05,0.00106967
"72",170,"Syne1",412.6638382,-4.770800971,0.904570832,-5.274104365,1.33e-07,1.26e-05
"73",172,"Lrp11",72.18020433,-2.313512779,0.866203596,-2.670864897,0.007565609,0.047627787
"74",174,"Samd5",29.31380649,-3.181026677,1.121998511,-2.835143404,0.004580512,0.03286571
"75",176,"Utrn",508.6692847,-2.487316104,0.558980359,-4.44973793,8.6e-06,0.000312078
"76",177,"Phactr2",150.3188783,-2.24110098,0.817164072,-2.74253489,0.006096697,0.040597981
"77",179,"Cited2",966.6149986,-2.12691964,0.712390459,-2.985609386,0.002830139,0.02332247
"78",181,"Tnfaip3",431.7831615,-2.030121552,0.690332938,-2.940786162,0.003273805,0.026043013
"79",182,"Enpp1",39.65626599,-6.437421709,2.185097774,-2.946056595,0.003218535,0.02566978
"80",183,"Akap7",74.55733488,-2.829541756,0.560359991,-5.04950711,4.43e-07,3.07e-05
"81",184,"Ptprk",244.2307639,-3.182815876,0.708068636,-4.495066885,6.95e-06,0.000262625
"82",187,"Tpd52l1",125.6908992,-2.830875868,0.762778183,-3.711270105,0.000206222,0.003378917
"83",192,"Mical1",143.7093037,-2.973600363,0.639310651,-4.651260479,3.3e-06,0.000154116
"84",194,"Armc2",10.0084126,-6.084383128,1.525404539,-3.98870134,6.64e-05,0.001469144
"85",196,"Speer5-ps1",6.649499261,-7.187805269,2.077929466,-3.459118987,0.000541945,0.006946755
"86",198,"Man1a",184.8719504,-2.430012177,0.738172186,-3.291931369,0.000995019,0.010815025
"87",200,"Hsf2",446.5913559,-2.853974368,0.552847166,-5.162320695,2.44e-07,2.03e-05
"88",204,"Edar",8.930560506,-5.424957233,1.5592012,-3.479318276,0.000502691,0.006671728
"89",205,"Mcu",240.9081356,-2.486332896,0.456374172,-5.448014039,5.09e-08,5.93e-06
"90",206,"Micu1",1053.938344,-3.40295431,0.699238128,-4.866660118,1.13e-06,6.67e-05
"91",207,"Adamts14",151.1530436,-3.20640723,1.109937868,-2.888816862,0.003866942,0.029247556
"92",209,"Stox1",7.987537122,-6.379040463,1.760124834,-3.62419775,0.00028986,0.004391337
"93",210,"Pbld2",7.251302026,-5.281761213,1.809331384,-2.919178465,0.003509552,0.027296716
"94",211,"Mypn",242.4654538,-6.682819614,1.593610889,-4.19350775,2.75e-05,0.000766145
"95",213,"Rtkn2",23.20354333,-5.711925616,1.27161714,-4.491859568,7.06e-06,0.000265309
"96",214,"Rhobtb1",162.8590375,-4.15674935,0.651319696,-6.382041526,1.75e-10,5.48e-08
"97",217,"Ggt1",14.32272048,-6.032068388,1.838821636,-3.280398854,0.001036604,0.011157832
"98",218,"Mmp11",35.97742434,-8.264211789,2.540967922,-3.252387296,0.0011444,0.011924257
"99",219,"Col6a2",135.3577958,-6.333492682,1.920020875,-3.29865824,0.000971481,0.010589144
"100",220,"Col6a1",187.1348883,-8.936799013,1.841549822,-4.85286844,1.22e-06,7.06e-05
"101",224,"Gm19402",38.84056828,-8.72395587,1.7383222,-5.018606949,5.2e-07,3.48e-05
"102",225,"Gm10272",33.25562122,-9.559447178,2.62069248,-3.647679859,0.000264619,0.004075081
"103",226,"Gm10024",50.04818271,-10.19003743,1.690394033,-6.028202435,1.66e-09,3.64e-07
"104",227,"Gm10142",22.30625627,-7.630097669,1.954317878,-3.904225486,9.45e-05,0.001894126
"105",228,"Krtap12-1",50.31923685,-8.46405986,2.292057952,-3.692777424,0.000221818,0.003573504
"106",229,"Gm10100",22.82105764,-9.015379946,1.70662934,-5.282564721,1.27e-07,1.22e-05
"107",230,"Gm3238",57.24400153,-7.981612761,2.443223888,-3.266836413,0.001087565,0.011551339
"108",231,"Gm19668",26.23048808,-8.457380328,1.722441872,-4.910110736,9.1e-07,5.55e-05
"109",232,"Gm2696",71.81481704,-8.288160231,2.11325881,-3.921980683,8.78e-05,0.001804502
"110",233,"Krtap10-4",86.2579106,-9.261284122,1.412162159,-6.55822992,5.45e-11,2.46e-08
"111",234,"Krtap10-10",152.0500371,-9.478469314,2.023390847,-4.684448052,2.81e-06,0.000136529
"112",235,"Gm10318",76.57943785,-8.546966446,2.874290288,-2.973591944,0.002943362,0.024059537
"113",236,"Gm3285",50.80972092,-8.298264817,1.580823158,-5.249331511,1.53e-07,1.4e-05
"114",240,"Hcn2",9.066107667,-5.126680591,1.355795613,-3.781307848,0.000156007,0.002794482
"115",242,"Arid3a",99.01983775,-3.366959691,0.624689976,-5.389809055,7.05e-08,7.69e-06
"116",243,"Efna2",25.92521255,-2.699687886,0.778557571,-3.467550743,0.000525225,0.006807914
"117",244,"Matk",46.21426253,-4.493760523,1.049960816,-4.279931646,1.87e-05,0.000563382
"118",245,"4930404N11Rik",51.18275394,-2.793363121,0.85202448,-3.278501016,0.0010436,0.01118904
"119",246,"S1pr4",105.4353155,-2.400260967,0.76529598,-3.136382562,0.001710459,0.016098009
"120",247,"Tle2",39.42324122,-2.633413486,0.963546812,-2.733041564,0.006275241,0.041499218
"121",248,"Txnrd1",5227.192734,-2.832271902,0.795386091,-3.560876832,0.000369618,0.005274527
"122",249,"Eid3",74.9485219,-3.866952181,0.823317655,-4.696792492,2.64e-06,0.000129767
"123",250,"Tcp11l2",1193.343158,-2.128306184,0.467186971,-4.555576928,5.22e-06,0.000214681
